,gauss,vine,vine(tll2),igc
0,0.151840631,0.194763419,0.163467208,0.068607699
1,0.02460997,0.087943577,0.014570834,0.019135392
2,0.004121289,0.216836439,0.004648231,0.009105283
3,6.08E-05,4.40E-06,5.05E-05,1.55E-05
4,0.004535807,0.065981429,0.002582974,0.004425269
5,0.118459271,0.446848198,0.48987865,0.312534019
6,1.166833732,0.347801564,0.231767063,0.137997966
7,0.602587082,0.254589207,0.087238078,0.064064388
8,0.329956255,2.536232849,0.265943145,0.205576743
9,0.319141119,0.090025329,0.080172652,0.080955256
10,0.022637222,0.004007975,0.008152066,0.004642565
11,3.068946935,0.610371504,0.787956553,0.211622425
12,0.056621992,0.00952575,0.010736704,0.013566989
13,0.704363358,0.421164151,1.916914351,0.164840458
14,0.458686334,0.037768944,0.062884165,0.045910027
15,0.015854636,0.005368206,0.002409949,0.002884946
16,0.003144771,0.00197133,0.001724955,0.002454663
17,0.088762922,0.110220709,0.033890711,0.083953632
18,1.900315984,0.32835667,0.050258006,0.12153899
19,0.344313959,0.335043611,0.336783174,0.100902684
20,0.006610471,0.002217833,0.003433007,0.002770724
21,1.032897883,0.830545391,0.656447931,0.065940485
22,0.023890999,0.02854808,0.020149092,0.015201184
23,0.00163898,0.000805089,0.000831403,0.000261118
24,0.099459741,0.004471993,0.000241016,0.002897013
